GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "26000","Michigan",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",36067948,37361665,40643958,45132028,50382867,53913200,57745117,64457792,72465620,80772906,88478725,94684397,101254248,104816500,111577181,123177165,133599143,142047588,147561422,157523158,169629265,177393177,181414249,192235076,202432450,217745440,230305875,242218472,254938948,270129905,283339665,302000579,307220858,306502877,314078154,323456673,331142642,339338377,349331478,357779785,339695037,353316281,373861260,389544137,393576751,411019819,433688597,446030231,458756727,476476831,492022215,530808563
 "26000","Michigan",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,9966555
 "26000","Michigan",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10230,10995,11499,12332,13612,14720,15562,16061,17089,18332,19051,19298,20280,21219,22687,23801,24821,25990,27430,28629,30344,30749,30602,31279,32168,32946,33812,34929,35969,34307,35769,37829,39355,39696,41383,43655,44809,45983,47708,49277,53259
 "26001","Alcona, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19374,21810,24307,27458,31313,33950,39288,44950,50829,57033,63060,71449,78937,84814,91199,99819,106143,111225,115150,121038,130780,141995,146854,152946,159290,173336,190911,199742,210004,225330,235249,247878,249329,249682,255907,260810,269345,271339,283947,301327,295991,311883,322968,332743,341076,346569,359111,364176,379780,400860,424177,472229
 "26001","Alcona, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",6434,7203,7600,8114,8417,8558,8684,8976,9258,9470,9560,9760,9822,9802,9833,9858,10012,10098,9981,10159,10143,10169,10312,10401,10316,10560,10775,11106,11233,11464,11641,11677,11665,11480,11495,11459,11517,11503,11412,11286,11106,10879,10742,10571,10550,10447,10327,10355,10305,10364,10453,10505
 "26001","Alcona, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3011,3028,3198,3384,3720,3967,4524,5008,5490,6022,6596,7321,8037,8653,9275,10126,10602,11015,11537,11914,12894,13964,14241,14705,15441,16414,17718,17985,18695,19655,20209,21228,21374,21749,22262,22760,23387,23589,24881,26699,26651,28668,30066,31477,32329,33174,34774,35169,36854,38678,40579,44953
 "26003","Alger, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20972,22634,24578,26849,30004,33418,37929,41957,45244,50018,53451,58531,62656,66421,70343,77157,81290,90934,94994,99313,107676,112874,121002,130648,138349,149431,155736,164377,174806,179367,184117,191199,210144,210331,209512,219255,215613,215832,218572,226907,231114,242086,251547,257744,260607,273064,282299,284319,292944,303016,308942,342131
 "26003","Alger, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8244,8547,8443,8225,8403,8541,8766,9048,9344,9387,9389,9260,9378,9252,9084,8965,8944,8794,8760,8841,8905,8974,9678,9761,9752,9818,9870,9831,9898,9866,9945,9819,9815,9764,9694,9680,9633,9687,9779,9647,9334,9578,9516,9456,9445,9370,9265,9138,9152,9105,9078,9015
 "26003","Alger, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2544,2648,2911,3264,3571,3913,4327,4637,4842,5328,5693,6321,6681,7179,7744,8606,9089,10340,10844,11233,12092,12578,12503,13385,14187,15220,15779,16720,17661,18180,18514,19472,21410,21541,21613,22650,22383,22281,22351,23521,24760,25275,26434,27257,27592,29142,30469,31114,32009,33280,34032,37951
 "26005","Allegan, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",220568,234452,255656,293139,333977,367680,400612,439066,501841,577385,657525,705146,769027,805652,856858,956582,1012829,1133580,1213509,1283537,1402530,1486278,1545364,1659238,1769670,1931474,2063100,2212721,2375322,2515972,2730718,2919740,2923510,2864667,2937796,3117193,3299437,3428590,3562405,3693536,3595530,3762510,4035263,4097913,4236227,4393342,4624008,4786544,4988374,5281224,5451867,5957225
