GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "27000","Minnesota",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14388047,15708849,16766023,18229257,21370238,23011795,24891102,26907121,30292726,33988927,37795423,42002053,46547625,49867537,52578359,59667354,63360939,67018188,71480238,75424900,82388061,87513967,90246245,97018541,99989946,107155238,113337451,122210770,129027566,140368599,147680886,160088983,166871882,170418975,178356163,189320918,194876787,204823707,216907171,226467098,216945702,226957064,242593231,257164228,259781775,273487954,286422936,292234917,304470047,319619110,329523912,350784691
 "27000","Minnesota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5657342
 "27000","Minnesota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3829,4117,4353,4714,5500,5903,6340,6801,7612,8487,9360,10282,11321,12070,12696,14351,15143,15937,16878,17556,18992,19935,20322,21581,21947,23242,24320,25932,27087,29162,30303,32448,33490,33955,35293,37211,38065,39667,41655,43161,41079,42734,45373,47822,47977,50157,52229,52890,54670,56986,58426,62005
 "27001","Aitkin, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",27173,29871,33724,37325,44212,48242,53626,62002,67810,74109,81635,91976,101996,110846,121478,129357,135491,141491,139280,144182,157659,166738,177710,188844,201703,214874,239090,257534,274179,295592,310880,335402,348310,364471,378503,390664,392517,412928,437055,463013,463882,487612,497113,500357,506811,546131,561130,573292,596287,636665,659213,735192
 "27001","Aitkin, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",11293,11458,11637,11985,12074,12102,12146,12347,12684,12901,13035,13384,13276,13248,13438,13218,13072,12773,12667,12542,12416,12462,12603,12825,13112,13524,13847,14181,14403,14840,15062,15282,15334,15616,15795,16028,16162,16357,16481,16422,16168,16212,16170,16038,15874,15852,15857,15755,15798,15886,15841,15848
 "27001","Aitkin, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2406,2607,2898,3114,3662,3986,4415,5022,5346,5744,6263,6872,7683,8367,9040,9786,10365,11077,10996,11496,12698,13380,14101,14725,15383,15888,17267,18160,19036,19919,20640,21948,22715,23340,23963,24374,24286,25245,26519,28195,28691,30077,30743,31198,31927,34452,35387,36388,37744,40077,41614,46390
 "27003","Anoka, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",559970,586842,627744,689700,776310,865055,952802,1079893,1243313,1454245,1721725,1981845,2181083,2357919,2564930,2892282,3122473,3338915,3588461,3872248,4201806,4467739,4702533,5107080,5472221,5906987,6260128,6709724,7134133,7816260,8399331,9245834,9728014,10061417,10534655,11122413,11225159,11657603,12285951,12760778,12443270,12858024,13650462,14228981,14496708,15396593,16139868,16599918,17383717,18152170,18850155,20045489
 "27003","Anoka, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",140975,155900,159044,164099,170598,174892,177915,180621,182056,186737,191741,196934,200223,203185,205362,208888,213359,218309,224834,232370,237833,245255,251565,257253,261729,268278,273226,278260,282976,288089,293599,299780,304823,308702,311863,316643,319830,323590,325767,327427,329635,331441,332921,336119,339120,341923,344244,346813,350598,354004,357538,359921
 "27003","Anoka, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3972,3764,3947,4203,4551,4946,5355,5979,6829,7788,8979,10063,10893,11605,12490,13846,14635,15294,15960,16664,17667,18217,18693,19852,20908,22018,22912,24113,25211,27131,28608,30842,31914,32593,33780,35126,35097,36026,37714,38973,37749,38794,41002,42333,42748,45029,46885,47864,49583,51277,52722,55694
 "27005","Becker, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",62153,69173,74947,83802,110809,111974,123940,138854,152364,169627,189368,204715,224457,235829,254136,289645,297566,318611,333747,340076,372098,397076,401341,423907,444942,471607,497895,551879,575377,627880,660330,734857,759762,793360,847091,879910,904663,956410,1013642,1064914,1078353,1153044,1239450,1343736,1369162,1403408,1461887,1493111,1546526,1605896,1656355,1783859
 "27005","Becker, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",24234,24467,24880,25135,25957,25962,26973,27741,28007,28854,29281,29378,29480,29118,28729,28604,28240,28177,28000,28035,27936,27921,28185,28420,28462,28742,28989,29036,29250,29410,29703,30188,30392,30777,31244,31625,31753,32057,32142,32244,32407,32554,32766,32995,33189,33267,33455,33728,34089,34403,34461,34456
 "27005","Becker, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2565,2827,3012,3334,4269,4313,4595,5005,5440,5879,6467,6968,7614,8099,8846,10126,10537,11307,11920,12130,13320,14221,14240,14916,15633,16408,17175,19007,19671,21349,22231,24343,24999,25778,27112,27823,28491,29835,31536,33027,33275,35419,37827,40725,41253,42186,43697,44269,45367,46679,48065,51772
 "27007","Beltrami, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",59002,65585,73093,81771,95037,108338,121842,139475,158894,177264,192695,216921,246410,268352,290896,328307,349555,358562,374089,405787,441569,472149,500158,529836,556761,604076,641386,678744,714359,768742,800043,867413,922844,956796,1017792,1052773,1067046,1126937,1191315,1265829,1340878,1383507,1450501,1516479,1558203,1662216,1718911,1774445,1829579,1925931,1987149,2152350
 "27007","Beltrami, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",23906,26567,27317,28178,28539,29064,28883,29447,29699,30197,30159,31191,31959,32803,32674,32738,33011,32781,32953,33329,33886,34504,35221,35812,36330,37350,37782,38149,38683,38679,39247,39789,40406,41049,41659,42100,42700,43066,43281,43815,44226,44572,45057,45160,45505,45655,45629,46054,46497,46723,47205,47442
 "27007","Beltrami, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2468,2469,2676,2902,3330,3728,4218,4736,5350,5870,6389,6955,7710,8181,8903,10028,10589,10938,11352,12175,13031,13684,14201,14795,15325,16173,16976,17792,18467,19875,20385,21800,22839,23309,24432,25006,24989,26168,27525,28890,30319,31040,32193,33580,34242,36408,37671,38530,39348,41220,42096,45368
 "27009","Benton, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",55855,61245,65462,71900,84346,95295,107611,119303,136847,155599,181866,203201,230468,250814,261893,299707,309428,334149,352624,381453,431504,452814,469900,516141,544489,576354,604598,658939,689519,767395,812533,887635,976896,1029797,1102938,1160477,1166434,1213509,1260007,1312566,1250878,1298811,1365644,1444626,1477286,1540375,1594087,1642696,1730758,1784770,1870470,2023439
 "27009","Benton, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",20001,20924,21408,21296,22384,22519,23921,23460,24007,24350,24727,25319,25790,25983,26209,26497,26821,27424,28016,28769,29449,30359,30909,31339,31730,31883,32236,32454,32807,33100,33653,34470,35346,36117,36760,37072,37409,37617,38007,38200,38418,38465,38738,38678,38985,39147,39433,39698,40219,40569,40938,40958
 "27009","Benton, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2793,2927,3058,3376,3768,4232,4499,5085,5700,6390,7355,8026,8936,9653,9992,11311,11537,12185,12587,13259,14653,14915,15203,16470,17160,18077,18755,20304,21017,23184,24144,25751,27638,28513,30004,31303,31181,32260,33152,34360,32560,33766,35253,37350,37894,39348,40425,41380,43033,43993,45690,49403
 "27011","Big Stone, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22667,26092,27508,29758,50206,43858,43164,42148,48844,52101,54419,59704,64011,62742,68896,86607,85277,83353,88416,79179,94093,97489,95004,98615,83756,95775,101162,115766,113699,123256,128458,134454,135411,141279,145218,161342,162094,164941,172617,200488,195207,207536,214210,257842,255929,243926,256440,246172,256120,257623,256016,307677
 "27011","Big Stone, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",7920,7989,8206,7983,7944,7999,8078,7938,7845,7861,7728,7721,7728,7661,7536,7429,7184,6954,6750,6599,6446,6268,6206,6075,6088,6124,6027,6017,5871,5882,5847,5777,5678,5677,5598,5444,5445,5375,5366,5328,5285,5273,5206,5134,5069,5086,4993,5003,5003,4973,4967,4923
 "27011","Big Stone, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2862,3266,3352,3728,6320,5483,5343,5310,6226,6628,7042,7733,8283,8190,9142,11658,11870,11986,13099,11999,14597,15553,15308,16233,13758,15639,16785,19240,19366,20955,21970,23274,23848,24886,25941,29637,29769,30687,32169,37629,36936,39358,41147,50222,50489,47960,51360,49205,51193,51804,51543,62498
 "27013","Blue Earth, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",164755,184740,196351,211527,261391,276496,297052,310480,369258,408119,434284,470243,520133,545400,567140,645487,667938,687244,754489,770696,840977,885399,901422,976674,998177,1095090,1151686,1223959,1270036,1396112,1436889,1474276,1628914,1715124,1794643,1857915,1902967,2066366,2126718,2160306,2062603,2165108,2355531,2516622,2522828,2692473,2778740,2778475,2859382,3013728,3094074,3363439
 "27013","Blue Earth, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",48415,52514,53353,53476,51414,52794,52091,51975,52019,51507,51769,52406,52656,52755,52725,52775,52899,52890,52860,53505,53616,54179,54439,54353,53891,54442,54958,55222,55036,55270,55698,55988,56808,57542,58554,59116,59918,61100,61974,62860,63565,64091,64364,64979,64749,65320,65701,66398,66931,67397,67874,68241
 "27013","Blue Earth, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3403,3518,3680,3956,5084,5237,5703,5974,7099,7924,8389,8973,9878,10338,10757,12231,12627,12994,14273,14404,15685,16342,16558,17969,18522,20115,20956,22164,23076,25260,25798,26332,28674,29806,30649,31428,31760,33819,34316,34367,32449,33782,36597,38730,38963,41220,42294,41846,42721,44716,45586,49288
 "27015","Brown, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",92959,105344,110060,119865,148931,159957,163153,159967,204755,222206,231777,255626,279239,296179,304089,351145,364164,375352,401021,389253,451145,465905,467668,500778,484308,542427,556450,621630,610765,645529,662214,697523,740742,760087,816209,840015,855143,891519,942950,1022097,959008,998872,1095955,1164400,1124494,1164850,1211156,1224784,1258069,1312032,1348215,1484877
 "27015","Brown, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",28277,29017,29357,29569,29365,29109,29100,28650,29038,28949,28767,28654,28625,28645,28628,28463,28111,27661,27425,27425,27103,26975,26967,27089,27234,27161,27131,27359,27282,27107,27040,26877,26932,26905,26754,26666,26260,26252,26130,25992,25890,25844,25660,25413,25267,25274,25246,25278,25173,25118,24965,24846
 "27015","Brown, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3287,3630,3749,4054,5072,5495,5607,5583,7051,7676,8057,8921,9755,10340,10622,12337,12955,13570,14622,14193,16646,17272,17342,18486,17783,19971,20510,22721,22387,23814,24490,25952,27504,28251,30508,31501,32564,33960,36087,39324,37042,38650,42711,45819,44504,46089,47974,48453,49977,52235,54004,59763
 "27017","Carlton, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",82816,88767,94366,105681,119076,129692,146282,165047,178689,203611,223331,247088,272898,284986,299606,320072,335270,351807,357495,375192,402689,423026,448427,483508,505533,538416,563385,600567,638119,683033,726605,775258,808545,850698,879670,907040,921655,974158,1051097,1119504,1134598,1174279,1212001,1212309,1256190,1309805,1371036,1402865,1452575,1528036,1584903,1689279
 "27017","Carlton, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",29466,28165,28540,28794,28513,28287,28474,28840,29251,29893,30445,29936,29871,29796,29797,29632,29385,28907,28858,28849,29054,29321,29472,29656,29986,30330,30326,30626,30819,31287,31558,31784,32110,32740,33343,33950,34367,34538,34596,34986,35269,35413,35436,35264,35265,35357,35400,35550,35498,35816,35913,35769
 "27017","Carlton, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2811,3152,3306,3670,4176,4585,5137,5723,6109,6811,7336,8254,9136,9565,10055,10802,11410,12170,12388,13005,13860,14427,15215,16304,16859,17752,18578,19610,20705,21831,23024,24391,25180,25983,26382,26717,26818,28205,30382,31999,32170,33160,34203,34378,35621,37045,38730,39462,40920,42664,44132,47227
 "27019","Carver, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",107726,117318,125687,141503,164470,186056,200586,212691,252957,290401,347730,397957,447264,480419,510090,590149,651758,705119,777791,841041,962816,1045200,1118294,1235975,1358555,1496265,1661492,1839752,2012041,2265625,2463666,2790382,2970470,3018430,3116191,3404506,3738703,4025937,4492438,4790156,4508298,4754320,5173192,5566332,5702419,6118639,6420982,6610954,7037917,7426521,7676796,8064542
 "27019","Carver, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",27229,28472,29113,31002,32478,32780,34011,34425,35339,36210,36821,37246,37960,38516,38799,39342,40208,41263,42741,44715,46304,48409,50251,52089,54436,56936,59644,62197,63939,65838,68181,70843,72945,75393,78005,80473,83258,85657,87270,88812,90242,91332,92752,93804,95562,97321,98610,100389,102120,103605,105128,106565
 "27019","Carver, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3956,4120,4317,4564,5064,5676,5898,6178,7158,8020,9444,10685,11783,12473,13147,15000,16210,17088,18198,18809,20793,21591,22254,23728,24957,26280,27857,29579,31468,34412,36134,39388,40722,40036,39949,42306,44905,47001,51477,53936,49958,52055,55774,59340,59672,62871,65115,65853,68918,71681,73023,75677
 "27021","Cass, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",41267,46558,50442,57049,66201,75225,84681,96075,108123,120003,132286,149684,164768,178405,193881,210300,225359,238208,242752,256088,280082,300578,318658,355273,391539,420513,446175,483170,520241,575623,612642,685545,696544,733511,786600,827187,833227,855185,917660,954103,954282,1001018,1044854,1099780,1088143,1138610,1218607,1267629,1322069,1375486,1413981,1536518
 "27021","Cass, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",15952,17431,17813,18272,18560,18645,19132,19539,20044,20256,20742,21060,21055,21040,21254,21587,21520,21589,21388,21462,21570,21869,22128,22777,23349,23728,24450,24958,25566,25961,26671,27292,27587,27853,28004,28338,28683,28754,28681,28733,28483,28654,28383,28412,28488,28559,28704,29030,29324,29405,29622,29928
 "27021","Cass, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2587,2671,2832,3122,3567,4035,4426,4917,5394,5924,6378,7108,7826,8479,9122,9742,10472,11034,11350,11932,12985,13744,14401,15598,16769,17722,18248,19359,20349,22173,22970,25119,25249,26335,28089,29190,29050,29741,31995,33206,33504,34935,36813,38708,38197,39869,42454,43666,45085,46777,47734,51340
 "27023","Chippewa, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",48427,54503,56283,60642,84598,89515,89200,89423,102527,115184,124883,131976,141956,142787,149121,176280,180361,184655,197629,179999,210291,230547,220049,232523,212181,255974,248628,295355,290647,315772,335132,341259,354013,362746,373646,382791,397289,406652,432937,471384,469438,483580,530575,575162,553792,518824,529882,517949,543385,555631,603691,660183
 "27023","Chippewa, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",15132,15140,15255,14919,14953,14999,15237,15462,15273,15153,15132,14917,14790,14684,14566,14575,14289,13989,13704,13581,13361,13209,13227,13134,13169,13223,13218,13178,13240,13235,13157,12913,12815,12741,12604,12531,12581,12525,12401,12376,12360,12439,12308,12112,12060,12041,12069,12035,11948,11879,11756,11758
 "27023","Chippewa, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3200,3600,3689,4065,5658,5968,5854,5783,6713,7601,8253,8847,9598,9724,10238,12095,12622,13200,14421,13254,15739,17454,16636,17704,16112,19358,18810,22413,21952,23859,25472,26428,27625,28471,29645,30548,31578,32467,34911,38089,37980,38876,43108,47487,45920,43088,43904,43037,45479,46774,51352,56148
 "27025","Chisago, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",62088,68327,75218,85306,101261,109702,123144,135644,156225,176388,206647,240995,269425,290070,312284,352679,376478,397259,421020,444249,479679,504239,526026,583602,625034,682516,747792,849360,931019,1027156,1097446,1185912,1298898,1347336,1418473,1482716,1707066,1727766,1834815,1931480,1878561,1920104,2050899,2094921,2158448,2262505,2385474,2459544,2593989,2725834,2840112,3018017
 "27025","Chisago, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",17267,17706,18601,19894,20528,21479,22230,22667,23117,24281,25190,25819,26173,26495,26836,27217,27536,27835,28025,29076,29794,30685,31241,32036,33263,34603,35909,36847,38020,39125,40070,41611,43466,45375,47322,49054,50283,51444,52312,53012,53526,53905,53762,53468,53665,53808,54144,54640,55261,55980,56543,56794
 "27025","Chisago, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3596,3859,4044,4288,4933,5107,5540,5984,6758,7264,8204,9334,10294,10948,11637,12958,13672,14272,15023,15279,16100,16433,16838,18217,18791,19724,20825,23051,24488,26253,27388,28500,29883,29693,29975,30226,33949,33585,35074,36435,35096,35620,38148,39181,40221,42048,44058,45014,46941,48693,50229,53140
 "27027","Clay, MN",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",152422,169965,177358,193515,253978,257575,256136,352682,313608,369716,396405,422885,454366,478189,511919,572827,570009,607325,628873,638829,682910,734949,740567,805404,814923,867823,898850,975430,991345,1058558,1103068,1176738,1253478,1305216,1412061,1445348,1491791,1610766,1724484,1905321,1913805,2003238,2136682,2298036,2344220,2417169,2547483,2550783,2614382,2715989,2811570,3074230
 "27027","Clay, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",42270,46786,47598,47346,47185,47278,47276,48085,48317,49063,49095,49364,49403,49158,49448,48942,49117,48629,48805,49495,50070,50454,50559,50934,51116,51300,51438,51243,51131,50920,50971,51308,51513,51772,52183,53251,54122,55072,55805,57056,58351,59144,59937,60229,60567,61297,62235,63090,63844,64079,64441,64690
