GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "39000","Ohio",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",41801043,44141934,46980368,50967906,56552390,61925206,66162182,72597505,80397208,88854711,98136026,107184471,116652387,122081467,129132533,142661132,151425559,158492982,166090329,178267540,191708347,202979644,207676873,221201352,230366365,243306753,255101076,267147166,282808993,299095784,308329260,324977550,333912229,338738307,348858473,362572573,373789356,392816917,409745801,424081872,412218962,425361803,453595432,471703866,479088726,498894557,518826754,529069639,548272730,569766136,587177304,627231345
 "39000","Ohio",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539449,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11693217
 "39000","Ohio",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9924,10813,11349,12026,13286,14106,14771,15436,16508,17703,18683,18973,20056,20752,21816,22771,23762,25078,26442,27200,28598,29323,29693,30509,31660,32607,34214,35629,36827,35755,36862,39287,40837,41373,42984,44641,45452,46999,48778,50201,53641
 "39001","Adams, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45225,49973,51099,56146,63533,73512,79229,86153,99251,111124,125522,141836,164042,178502,171556,201014,220197,221146,232833,250490,272481,290571,301138,338085,350211,374674,389745,418699,454108,495026,514060,556646,593031,583191,605157,641702,641580,659879,697194,715541,725312,742574,804215,802643,815082,853636,891624,902621,932947,964792,982690,1091828
 "39001","Adams, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",18895,19117,19870,20687,21847,22525,22247,23178,23546,23933,23977,24351,24388,24459,24111,23861,24118,24306,24688,24887,25206,25411,25731,26044,26299,26550,26823,27273,27291,27422,27422,27317,27522,27817,28111,28328,28522,28615,28538,28686,28500,28530,28454,28288,28085,28060,27919,27817,27747,27685,27640,27531
 "39001","Adams, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2393,2614,2572,2714,2908,3264,3561,3717,4215,4643,5235,5825,6726,7298,7115,8424,9130,9098,9431,10065,10810,11435,11703,12981,13317,14112,14530,15352,16639,18052,18746,20377,21548,20965,21527,22653,22494,23061,24430,24944,25450,26028,28264,28374,29022,30422,31936,32449,33623,34849,35553,39658
 "39003","Allen, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",415181,439385,465872,489289,554243,607835,647153,699455,775298,861705,953492,1034998,1098158,1147388,1223736,1385983,1466696,1548122,1585393,1667335,1750403,1815379,1852229,1979850,1994037,2113276,2167849,2224976,2296398,2437028,2552132,2682204,2726187,2781076,2863193,2933385,3008218,3161205,3318961,3409679,3419058,3518436,3644189,3751296,3736101,3881986,3997996,4070452,4197897,4359276,4432765,4742099
 "39003","Allen, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",110340,111084,111437,110643,110245,110637,110806,109853,110465,109828,111247,112188,111726,109826,108936,109642,109601,109755,110123,110518,110270,109841,109916,110242,110262,110138,109841,109573,109150,108599,108192,108589,108523,108518,107418,106826,106861,106716,106717,106773,106518,106342,105981,105251,105071,104886,104141,103691,103173,102747,102450,101980
 "39003","Allen, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3763,3955,4181,4422,5027,5494,5840,6367,7018,7846,8571,9226,9829,10447,11234,12641,13382,14105,14397,15087,15874,16527,16851,17959,18085,19188,19736,20306,21039,22441,23589,24701,25121,25628,26655,27459,28151,29623,31101,31934,32098,33086,34385,35641,35558,37011,38390,39256,40688,42427,43268,46500
 "39005","Ashland, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",146389,157435,173752,186965,208863,231357,248503,275982,303472,339832,379848,413764,449825,459780,488702,543723,563664,593053,620944,650278,695493,729243,749640,818186,859384,918978,947546,982063,1052679,1112693,1134589,1193103,1247948,1268150,1310701,1356936,1405219,1443566,1524832,1584585,1535755,1578621,1681627,1698234,1775802,1841108,1898132,1917581,1994931,2073586,2135084,2296730
