GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AAA001,AAO001,AAO002,AAO003,AAO004,AAP001,AAP002
"G0900010","1790","Connecticut","90","Fairfield","10","Fairfield","1","10",36290,8394,9149,7701,9929,17543,17630
"G0900030","1790","Connecticut","90","Hartford","30","Hartford","1","30",38149,8844,9808,8232,10614,18652,18846
"G0900050","1790","Connecticut","90","Litchfield","50","Litchfield","1","50",38635,9237,10135,8189,10558,19372,18747
"G0900070","1790","Connecticut","90","Middlesex","70","Middlesex","1","70",18828,4140,4730,4203,5419,8870,9622
"G0900090","1790","Connecticut","90","New Haven","90","New Haven","1","90",30703,6841,7843,6639,8559,14684,15198
"G0900110","1790","Connecticut","90","New London","110","New London","1","110",32918,7148,8189,7106,9162,15337,16268
"G0900130","1790","Connecticut","90","Tolland","130","Tolland","1","130",13251,3138,3449,2850,3674,6587,6524
"G0900150","1790","Connecticut","90","Windham","150","Windham","1","150",28881,6547,7436,6278,8095,13983,14373
"G1000010","1790","Delaware","100","Kent","10","Kent","11","10",18920,3467,3705,3299,3579,7172,6878
"G1000030","1790","Delaware","100","New Castle","30","New Castle","11","30",19688,4747,3973,3726,4041,8720,7767
"G1000050","1790","Delaware","100","Sussex","50","Sussex","11","50",20488,3929,4105,3712,4027,8034,7739
"G1300330","1790","Georgia","130","Burke","330","Burke","44","330",9467,1841,1808,1861,1554,3649,3415
"G1300390","1790","Georgia","130","Camden","390","Camden","44","390",305,44,81,52,44,125,96
"G1300510","1790","Georgia","130","Chatham","510","Chatham","44","510",10769,480,846,616,514,1326,1130
"G1301030","1790","Georgia","130","Effingham","1030","Effingham","44","1030",2424,336,627,388,323,963,711
"G1301190","1790","Georgia","130","Franklin","1190","Franklin","44","1190",1041,243,225,227,190,468,417
"G1301270","1790","Georgia","130","Glynn","1270","Glynn","44","1270",413,36,70,48,39,106,87
"G1301330","1790","Georgia","130","Greene","1330","Greene","44","1330",5405,1111,1027,1026,856,2138,1882
"G1301790","1790","Georgia","130","Liberty","1790","Liberty","44","1790",5355,264,426,334,279,690,613
"G1302450","1790","Georgia","130","Richmond","2450","Richmond","44","2450",11317,1925,1894,1822,1521,3819,3343
"G1303030","1790","Georgia","130","Washington","3030","Washington","44","3030",4552,1024,947,1027,858,1971,1885
"G1303170","1790","Georgia","130","Wilkes","3170","Wilkes","44","3170",31500,6740,5152,6627,5533,11892,12160
"G2400010","1790","Maryland","240","Allegany","10","Allegany","52","10",4809,1283,1068,917,1271,2351,2188
"G2400030","1790","Maryland","240","Anne Arundel","30","Anne Arundel","52","30",22598,2850,3142,2378,3294,5992,5672
"G2400050","1790","Maryland","240","Baltimore","50","Baltimore","52","50",25434,4668,5184,3815,5286,9852,9101
