GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV0AAM
"G010","1990","Alabama","01","010","Alabama",4040587,
"G020","1990","Alaska","02","020","Alaska",550043,
"G040","1990","Arizona","04","040","Arizona",3665228,
"G050","1990","Arkansas","05","050","Arkansas",2350725,
"G060","1990","California","06","060","California",29760021,
"G080","1990","Colorado","08","080","Colorado",3294394,
"G090","1990","Connecticut","09","090","Connecticut",3287116,
"G100","1990","Delaware","10","100","Delaware",666168,
"G110","1990","District of Columbia","11","110","District of Columbia",606900,
"G120","1990","Florida","12","120","Florida",12937926,
"G130","1990","Georgia","13","130","Georgia",6478216,
"G150","1990","Hawaii","15","150","Hawaii",1108229,
"G160","1990","Idaho","16","160","Idaho",1006749,
"G170","1990","Illinois","17","170","Illinois",11430602,
"G180","1990","Indiana","18","180","Indiana",5544159,
"G190","1990","Iowa","19","190","Iowa",2776755,
"G200","1990","Kansas","20","200","Kansas",2477574,
"G210","1990","Kentucky","21","210","Kentucky",3685296,
"G220","1990","Louisiana","22","220","Louisiana",4219973,
"G230","1990","Maine","23","230","Maine",1227928,
"G240","1990","Maryland","24","240","Maryland",4781468,
"G250","1990","Massachusetts","25","250","Massachusetts",6016425,
"G260","1990","Michigan","26","260","Michigan",9295297,
"G270","1990","Minnesota","27","270","Minnesota",4375099,
"G280","1990","Mississippi","28","280","Mississippi",2573216,
"G290","1990","Missouri","29","290","Missouri",5117073,
"G300","1990","Montana","30","300","Montana",799065,
"G310","1990","Nebraska","31","310","Nebraska",1578385,
"G320","1990","Nevada","32","320","Nevada",1201833,
"G330","1990","New Hampshire","33","330","New Hampshire",1109252,
"G340","1990","New Jersey","34","340","New Jersey",7730188,
"G350","1990","New Mexico","35","350","New Mexico",1515069,
"G360","1990","New York","36","360","New York",17990455,
"G370","1990","North Carolina","37","370","North Carolina",6628637,
"G380","1990","North Dakota","38","380","North Dakota",638800,
"G390","1990","Ohio","39","390","Ohio",10847115,
"G400","1990","Oklahoma","40","400","Oklahoma",3145585,
"G410","1990","Oregon","41","410","Oregon",2842321,
"G420","1990","Pennsylvania","42","420","Pennsylvania",11881643,
"G440","1990","Rhode Island","44","440","Rhode Island",1003464,
"G450","1990","South Carolina","45","450","South Carolina",3486703,
"G460","1990","South Dakota","46","460","South Dakota",696004,
"G470","1990","Tennessee","47","470","Tennessee",4877185,
"G480","1990","Texas","48","480","Texas",16986510,
"G490","1990","Utah","49","490","Utah",1722850,
"G500","1990","Vermont","50","500","Vermont",562758,
"G510","1990","Virginia","51","510","Virginia",6187358,
"G530","1990","Washington","53","530","Washington",4866692,
"G540","1990","West Virginia","54","540","West Virginia",1793477,
"G550","1990","Wisconsin","55","550","Wisconsin",4891769,
"G560","1990","Wyoming","56","560","Wyoming",453588,
"G010","2000","Alabama","01","010","Alabama",4447100,
"G020","2000","Alaska","02","020","Alaska",626932,
"G040","2000","Arizona","04","040","Arizona",5130632,
"G050","2000","Arkansas","05","050","Arkansas",2673400,
"G060","2000","California","06","060","California",33871648,
"G080","2000","Colorado","08","080","Colorado",4301261,
"G090","2000","Connecticut","09","090","Connecticut",3405565,
"G100","2000","Delaware","10","100","Delaware",783600,
"G110","2000","District of Columbia","11","110","District of Columbia",572059,
"G120","2000","Florida","12","120","Florida",15982378,
"G130","2000","Georgia","13","130","Georgia",8186453,
"G150","2000","Hawaii","15","150","Hawaii",1211537,
"G160","2000","Idaho","16","160","Idaho",1293953,
"G170","2000","Illinois","17","170","Illinois",12419293,
"G180","2000","Indiana","18","180","Indiana",6080485,
"G190","2000","Iowa","19","190","Iowa",2926324,
"G200","2000","Kansas","20","200","Kansas",2688418,
"G210","2000","Kentucky","21","210","Kentucky",4041769,
"G220","2000","Louisiana","22","220","Louisiana",4468976,
"G230","2000","Maine","23","230","Maine",1274923,
"G240","2000","Maryland","24","240","Maryland",5296486,
"G250","2000","Massachusetts","25","250","Massachusetts",6349097,
"G260","2000","Michigan","26","260","Michigan",9938444,
"G270","2000","Minnesota","27","270","Minnesota",4919479,
"G280","2000","Mississippi","28","280","Mississippi",2844658,
"G290","2000","Missouri","29","290","Missouri",5595211,
"G300","2000","Montana","30","300","Montana",902195,
"G310","2000","Nebraska","31","310","Nebraska",1711263,
"G320","2000","Nevada","32","320","Nevada",1998257,
"G330","2000","New Hampshire","33","330","New Hampshire",1235786,
"G340","2000","New Jersey","34","340","New Jersey",8414350,
"G350","2000","New Mexico","35","350","New Mexico",1819046,
"G360","2000","New York","36","360","New York",18976457,
"G370","2000","North Carolina","37","370","North Carolina",8049313,
"G380","2000","North Dakota","38","380","North Dakota",642200,
"G390","2000","Ohio","39","390","Ohio",11353140,
"G400","2000","Oklahoma","40","400","Oklahoma",3450654,
"G410","2000","Oregon","41","410","Oregon",3421399,
"G420","2000","Pennsylvania","42","420","Pennsylvania",12281054,
"G440","2000","Rhode Island","44","440","Rhode Island",1048319,
"G450","2000","South Carolina","45","450","South Carolina",4012012,
"G460","2000","South Dakota","46","460","South Dakota",754844,
"G470","2000","Tennessee","47","470","Tennessee",5689283,
"G480","2000","Texas","48","480","Texas",20851820,
"G490","2000","Utah","49","490","Utah",2233169,
"G500","2000","Vermont","50","500","Vermont",608827,
"G510","2000","Virginia","51","510","Virginia",7078515,
"G530","2000","Washington","53","530","Washington",5894121,
"G540","2000","West Virginia","54","540","West Virginia",1808344,
"G550","2000","Wisconsin","55","550","Wisconsin",5363675,
"G560","2000","Wyoming","56","560","Wyoming",493782,
"G010","2010","Alabama","01","010","Alabama",4779736,
"G020","2010","Alaska","02","020","Alaska",710231,
"G040","2010","Arizona","04","040","Arizona",6392017,
"G050","2010","Arkansas","05","050","Arkansas",2915918,
"G060","2010","California","06","060","California",37253956,
"G080","2010","Colorado","08","080","Colorado",5029196,
"G090","2010","Connecticut","09","090","Connecticut",3574097,
"G100","2010","Delaware","10","100","Delaware",897934,
"G110","2010","District of Columbia","11","110","District of Columbia",601723,
"G120","2010","Florida","12","120","Florida",18801310,
"G130","2010","Georgia","13","130","Georgia",9687653,
"G150","2010","Hawaii","15","150","Hawaii",1360301,
"G160","2010","Idaho","16","160","Idaho",1567582,
"G170","2010","Illinois","17","170","Illinois",12830632,
"G180","2010","Indiana","18","180","Indiana",6483802,
"G190","2010","Iowa","19","190","Iowa",3046355,
"G200","2010","Kansas","20","200","Kansas",2853118,
"G210","2010","Kentucky","21","210","Kentucky",4339367,
